rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
15283,8868907,1,,157.322,3.06E-05,222.903,1.35E-04,9.00E-01,8.59E-02,21.97,2.33E-02,1.55E+05,7.08E+01,3.33E+03,57.84,6.61E+00,3.52E+02,7.02E+01,,,6109,189,4.47,0.28,0.989,0.39,AFP
15284,8868907,2,,157.322,2.01E-05,265.256,9.52E-05,5.70E-01,1.41E-03,8.517,6.24E-03,1.20E+05,8.41E+01,1.62E+03,36.06,2.12E-02,3.52E+02,7.02E+01,,,6109,189,4.47,0.28,0.989,0.39,AFP
15285,8869680,1,,7.03378,2.23E-05,131.957,2.48E-03,7.26E-01,6.26E-01,6.231,1.17E-01,1.35E+02,3.53E+00,3.98E+01,1.627,3.27E-01,1.11E+03,3.70E+02,,,6115,226,4.3,0.36,1.3,0.862,AFP
15286,8892720,1,,61.4912,1.41E-05,163.634,2.07E-04,6.82E-01,1.35E-03,9.744,9.40E-03,5.91E+04,5.34E+01,1.37E+03,22.87,1.81E-02,4.38E+02,9.49E+01,,,5830,190,4.54,0.3,0.876,0.375,AFP
15287,8892720,2,,61.4913,2.74E-04,151.274,4.08E-03,9.11E-01,7.14E-03,9.593,1.64E-01,2.73E+03,4.39E+01,6.96E+01,5.507,7.39E-02,4.38E+02,9.49E+01,,,5830,190,4.54,0.3,0.876,0.375,AFP
15288,8892721,1,,61.4912,3.43E-04,163.634,5.19E-03,9.20E-01,7.26E-03,9.482,1.94E-01,3.50E+03,7.99E+01,5.48E+01,4.441,9.12E-02,3.23E+02,1.92E+01,,,4796,179,4.66,0.06,0.598,0.055,AFP
15289,8892910,1,,10.8101,1.73E-06,132.952,1.31E-04,9.54E-01,3.96E-03,4.465,9.95E-03,6.16E+03,1.08E+01,7.41E+02,14.31,2.95E-01,9.85E+02,3.18E+02,,,6211,199,4.27,0.33,1.284,0.826,AFP
15290,8915335,2,,0.61474,1.24E-05,132.078,1.86E-03,7.00E-01,1.02E+00,1.481,3.43E-01,7.60E+01,1.14E+01,9.15E+00,3.165,8.14E-01,4.83E+03,7.59E+02,,,7968,312,3.69,0.23,3.38,1.028,UNK
15291,8915335,3,,0.544535,1.12E-05,131.901,2.04E-03,8.99E-01,5.18E-01,1.52,1.98E+00,8.51E+01,1.12E+01,1.09E+01,3.638,1.44E+00,5.03E+03,7.90E+02,,,7968,312,3.69,0.23,3.38,1.028,UNK
15292,8916266,1,,0.510766,9.73E-06,131.883,9.59E-04,5.69E-01,1.62E+00,1.185,1.51E-01,3.09E+02,3.76E+01,1.23E+01,21.4,5.50E+00,7.55E+03,9.42E+02,,,6926,393,2.85,0.17,11.59,2.574,UNK
15293,8916266,2,,2.14404,1.33E-05,131.863,2.26E-03,1.17E-01,2.65E+01,3.372,1.01E-01,5.55E+02,6.41E+01,1.06E+01,27.51,1.66E+01,4.68E+03,5.84E+02,,,6926,393,2.85,0.17,11.59,2.574,UNK
15294,8916266,3,,1.10278,0.00E+00,131.72,0.00E+00,1.00E-01,0.00E+00,3,0.00E+00,2.82E+02,0.00E+00,-1.00E+00,19.59,0.00E+00,5.84E+03,0.00E+00,,,6926,393,2.85,0.17,11.59,2.574,UNK
15295,8956206,2,,99.6736,3.35E-04,219.333,2.36E-03,2.41E-02,1.47E+02,0.8824,3.00E-01,2.51E+03,2.72E+02,1.45E+01,3.913,3.82E+00,3.22E+02,1.37E+01,,,5149,105,4.55,0.06,0.791,0.059,PC
15296,8956850,1,,1.56222,1.19E-05,132.984,3.75E-03,7.00E-01,8.97E-01,5.023,2.03E+00,1.95E+01,1.41E+00,1.47E+01,0.6468,1.37E-01,2.10E+03,6.51E+02,,,6892,235,4.28,0.35,1.369,0.845,AFP
15297,8956850,2,,1.56234,1.85E-05,131.998,5.79E-03,1.18E-01,5.31E+01,5.053,5.67E+00,1.25E+01,1.67E+00,9.88E+00,0.4883,5.51E-01,2.10E+03,6.51E+02,,,6892,235,4.28,0.35,1.369,0.845,AFP
15298,8957572,1,,1.57666,3.87E-05,132.42,1.85E-02,9.99E-01,1.80E-02,1.757,5.72E-01,3.12E+01,3.12E+00,1.00E+01,1.564,1.77E+00,2.13E+03,6.45E+02,,,6734,222,4.21,0.34,1.485,0.895,UNK
15299,8975644,1,,0.692403,7.41E-06,132.162,1.44E-03,9.02E-01,6.98E-01,0.9425,2.42E-01,4.92E+02,6.48E+01,1.46E+01,8.297,4.68E+00,4.08E+03,1.01E+03,,,6939,319,3.63,0.44,3.186,1.544,AFP
15300,8975644,2,,0.692392,9.50E-06,131.707,1.56E-03,9.00E-01,6.01E-01,0.8028,2.51E-01,4.64E+02,7.67E+01,1.15E+01,8.077,3.91E+00,4.08E+03,1.01E+03,,,6939,319,3.63,0.44,3.186,1.544,AFP
15301,8975644,3,,0.692398,1.07E-05,131.931,1.71E-03,9.00E-01,7.85E-01,0.9416,2.28E-01,4.36E+02,6.99E+01,1.16E+01,7.792,4.84E+00,4.08E+03,1.01E+03,,,6939,319,3.63,0.44,3.186,1.544,AFP
15302,8975644,4,,0.6924,0.00E+00,132.045,0.00E+00,1.00E-01,0.00E+00,1.5,0.00E+00,4.23E+02,0.00E+00,-1.00E+00,6.641,0.00E+00,4.08E+03,0.00E+00,,,6939,319,3.63,0.44,3.186,1.544,AFP
15303,9005047,1,,1.31672,1.94E-05,132.572,6.63E-03,8.23E-01,1.03E+00,5.338,1.18E+01,5.52E+00,5.06E-01,1.16E+01,1.293,4.14E-01,5.56E+03,1.11E+03,,,10670,445,3.59,0.33,4.97,1.934,NTP
15304,9005854,1,,1.89025,1.46E-07,131.673,4.21E-05,9.85E-01,6.25E-02,3.68,1.21E-02,6.72E+04,8.60E+01,2.13E+03,33.98,3.93E+00,1.23E+03,1.90E+02,,,5340,178,4.59,0.19,0.778,0.235,UNK
15305,9006186,1,,5.45297,1.11E-05,134.153,1.47E-03,2.39E-01,8.90E+00,2.097,6.38E-02,9.36E+01,3.72E+00,2.59E+01,0.7939,4.51E-01,9.00E+02,6.91E+01,,,5463,109,4.58,0.12,0.83,0.123,PC
15306,9025600,1,,8.40115,1.13E-04,136.705,1.02E-02,3.77E-01,5.00E+00,11.36,6.78E-01,4.16E+01,5.41E+00,7.80E+00,1.1,4.35E-01,1.34E+03,2.55E+02,,,6677,240,4,0.32,1.669,0.626,AFP
15307,9025600,2,,2.1005,5.00E-05,132.24,1.58E-02,9.97E-01,2.81E-03,2.521,1.39E-01,3.81E+01,3.81E+00,9.22E+00,1.774,2.94E-01,2.12E+03,4.05E+02,,,6677,240,4,0.32,1.669,0.626,UNK
15308,9025600,3,,8.40028,3.41E-04,133.661,3.46E-02,9.90E-01,1.74E-03,11.82,4.02E-01,7.46E+01,5.05E+00,1.16E+01,2.022,8.08E-03,1.34E+03,2.55E+02,,,6677,240,4,0.32,1.669,0.626,AFP
15309,9045521,3,,0.536821,9.80E-06,131.885,1.87E-03,3.84E-01,7.91E+00,1.293,3.81E-01,2.74E+02,3.49E+01,1.29E+01,2.751,1.87E+00,3.09E+03,7.80E+02,,,6409,207,4.08,0.26,1.622,0.811,AFP
15310,9045611,1,,0.739655,1.13E-05,131.995,1.37E-03,7.00E-01,6.11E-01,2.086,4.23E-01,5.99E+01,9.60E+00,8.28E+00,2.546,5.35E-01,3.11E+03,8.79E+02,,,5422,193,3.63,0.56,3.078,1.725,UNK
15311,9047103,1,,0.5889,8.62E-06,131.798,1.36E-03,2.46E-01,1.27E+01,1.278,2.70E-01,1.68E+02,1.81E+01,1.40E+01,2.341,1.41E+00,3.29E+03,7.16E+02,,,6790,266,4.03,0.26,1.771,0.758,AFP
15312,9047103,2,,0.588902,9.58E-06,131.561,1.35E-03,2.08E-01,1.62E+01,1.303,3.00E-01,1.70E+02,2.00E+01,1.47E+01,2.351,1.50E+00,3.29E+03,7.16E+02,,,6790,266,4.03,0.26,1.771,0.758,AFP
15313,9072639,1,,1.18284,8.29E-06,131.984,2.68E-03,6.52E-01,7.61E-01,2.91,4.31E-01,2.18E+01,1.82E+00,1.46E+01,1.303,2.26E-01,2.80E+03,4.04E+02,,,6017,130,3.7,0.21,2.639,0.752,PC
15314,9072693,1,,0.75119,3.09E-05,131.946,1.05E-02,9.13E-01,7.28E-01,2.159,6.93E+00,4.27E+00,1.35E+00,3.75E+00,0.5302,3.48E-01,3.20E+03,6.46E+02,,,6718,286,3.95,0.24,2.177,0.859,UNK
